year,county_5dcode,pop
1969,19017,22718
1969,19019,21897
1969,19021,20493
1969,19023,16933
1969,19025,14369
1969,19027,22958
1969,19029,16878
1969,19031,17492
1969,19033,49086
1969,19035,17250
1969,19037,15120
1969,19039,7570
1969,19041,18404
1969,19043,20519
1969,19045,56387
1969,19047,19240
1969,19049,25901
1969,19051,8194
1969,19053,9752
1969,19055,18997
1969,19057,47336
1969,19059,12392
1969,19061,89940
1969,19063,14077
1969,19065,26943
1969,19067,19185
1969,19069,13245
1969,19071,9046
1969,19073,12696
1969,19075,14148
1969,19077,12200
1969,19079,18594
1969,19081,13504
1969,19083,22222
1969,19085,16040
1969,19087,18028
1969,19089,11557
1969,19091,12425
1969,19093,9348
1969,19095,15440
1969,19097,20544
1969,19099,35239
1969,19101,15494
1969,19103,71252
1969,19105,19911
1969,19107,13824
1969,19109,22904
1969,19111,42258
1969,19113,162276
1969,19115,10468
1969,19117,10071
1969,19119,13546
1969,19121,11499
1969,19123,21957
1969,19125,26105
1969,19127,40658
1969,19129,11564
1969,19131,13255
1969,19133,12081
1969,19135,9305
1969,19137,12577
1969,19139,36769
1969,19141,17362
1969,19143,8613
1969,19145,18269
1969,19147,13099
1969,19149,24302
1969,19151,12832
1969,19153,282992
1969,19155,86193
1969,19157,18866
1969,19159,6361
1969,19161,15620
1969,19163,141269
1969,19165,15449
1969,19167,27917
1969,19169,62257
1969,19171,19968
1969,19173,8713
1969,19175,13487
1969,19177,8721
1969,19179,42083
1969,19181,27034
1969,19183,18953
1969,19185,8481
1969,19187,48526
1969,19189,13005
1969,19191,21686
1969,19193,102231
1969,19195,9038
1969,19197,17371
1969,20001,15006
1969,20003,8521
1969,20005,19098
1969,20007,7184
1969,20009,30591
1969,20011,15219
1969,20013,11661
1969,20015,39103
1969,20017,3434
1969,20019,4647
1969,20021,21511
1969,20023,4383
1969,20025,2998
1969,20027,9898
1969,20029,13724
1969,20031,7407
1969,20033,2687
1969,20035,35167
1969,20037,37328
1969,20039,5093
1969,20041,19956
1969,20043,9052
1969,20045,56903
1969,20047,4608
1969,20049,3960
1969,20051,24662
1969,20053,6116
1969,20055,18945
1969,20057,22642
1969,20059,20063
1969,20061,26644
1969,20063,3953
1969,20065,4862
1969,20067,5943
1969,20069,4587
1969,20071,1863
1969,20073,9214
1969,20075,2785
1969,20077,8060
1969,20079,27085
1969,20081,3690
1969,20083,2676
1969,20085,10212
1969,20087,11876
1969,20089,6288
1969,20091,218230
1969,20093,3019
1969,20095,9017
1969,20097,4260
1969,20099,26132
1969,20101,2727
1969,20103,53702
1969,20105,4657
1969,20107,7771
1969,20109,3868
1969,20111,31514
1969,20113,24723
1969,20115,13976
1969,20117,13150
1969,20119,5022
1969,20121,19056
1969,20123,8129
1969,20125,39833
1969,20127,6522
1969,20129,3639
1969,20131,11926
1969,20133,18823
1969,20135,4794
1969,20137,7434
1969,20139,13249
1969,20141,6632
1969,20143,6160
1969,20145,8498
1969,20147,7994
1969,20149,11678
1969,20151,10144
1969,20153,4499
1969,20155,60597
1969,20157,8622
1969,20159,12345
1969,20161,55905
1969,20163,7738
1969,20165,5249
1969,20167,9671
1969,20169,46312
1969,20171,5751
1969,20173,354145
1969,20175,15404
1969,20177,154810
1969,20179,4003
1969,20181,7900
1969,20183,6836
1969,20185,5988
1969,20187,2327
1969,20189,4281
1969,20191,23961
1969,20193,7459
1969,20195,4428
1969,20197,6310
1969,20199,2235
1969,20201,9485
1969,20203,3290
1969,20205,11546
1969,20207,4791
1969,20209,186856
1969,21001,12696
1969,21003,12378
1969,21005,8959
1969,21007,7978
1969,21009,27972
1969,21011,9122
1969,21013,30650
1969,21015,31994
1969,21017,18324
1969,21019,52065
1969,21021,21377
1969,21023,7124
1969,21025,14150
1969,21027,14561
1969,21029,24739
1969,21031,9577
1969,21033,13107
1969,21035,27536
1969,21037,88761
1969,21039,5324
1969,21041,8473
1969,21043,19467
1969,21045,12899
1969,21047,54425
1969,21049,23395
1969,21051,18029
1969,21053,8091
1969,21055,8368
1969,21057,6850
1969,21059,78976
1969,21061,8254
1969,21063,5919
1969,21065,12485
1969,21067,171485
1969,21069,11166
1969,21071,34442
1969,21073,33914
1969,21075,10046
1969,21077,4063
1969,21079,9481
1969,21081,9623
1969,21083,30597
1969,21085,15887
1969,21087,10290
1969,21089,32809
1969,21091,6939
1969,21093,78230
1969,21095,36363
1969,21097,14124
1969,21099,13591
1969,21101,35979
1969,21103,10887
1969,21105,6092
1969,21107,37392
1969,21109,9995
1969,21111,688723
1969,21113,17083
1969,21115,17049
1969,21117,128782
1969,21119,14263
1969,21121,23151
1969,21123,10493
1969,21125,26864
1969,21127,10457
1969,21129,6432
1969,21131,11358
1969,21133,22131
1969,21135,12092
1969,21137,16370
1969,21139,7436
1969,21141,21434
1969,21143,5369
1969,21145,57453
1969,21147,12169
1969,21149,8895
1969,21151,42237
1969,21153,10287
1969,21155,16627
1969,21157,19804
1969,21159,9102
1969,21161,17396
1969,21163,19190
1969,21165,3902
1969,21167,15721
1969,21169,8240
1969,21171,11311
1969,21173,14850
1969,21175,9895
1969,21177,27115
1969,21179,23386
1969,21181,6457
1969,21183,18640
1969,21185,14626
1969,21187,7287
1969,21189,4925
1969,21191,9766
1969,21193,25616
1969,21195,59081
1969,21197,7620
1969,21199,34199
1969,21201,2169
1969,21203,12021
1969,21205,16713
1969,21207,10226
1969,21209,17979
1969,21211,18783
1969,21213,12911
1969,21215,5437
1969,21217,16580
1969,21219,10747
1969,21221,8610
1969,21223,5354
1969,21225,15960
1969,21227,55937
1969,21229,10847
1969,21231,14285
1969,21233,13301
1969,21235,23310
1969,21237,5635
1969,21239,14231
1969,22001,51847
1969,22003,20649
1969,22005,36517
1969,22007,19467
1969,22009,37417
1969,22011,22679
1969,22013,16159
1969,22015,66242
1969,22017,227854
1969,22019,145054
1969,22021,9435
1969,22023,7887
1969,22025,11524
1969,22027,17172
1969,22029,22848
1969,22031,22422
1969,22033,281878
1969,22035,12953
1969,22037,17086
1969,22039,31216
1969,22041,24102
1969,22043,13270
1969,22045,56706
1969,22047,30270
1969,22049,15529
1969,22051,328401
1969,22053,29334
1969,22055,110276
1969,22057,67803
1969,22059,12793
1969,22061,32897
1969,22063,36114
1969,22065,15088
1969,22067,32419
1969,22069,34732
1969,22071,592555
1969,22073,114065
1969,22075,24554
1969,22077,21624
1969,22079,115453
1969,22081,9235
1969,22083,21432
1969,22085,18196
1969,22087,50598
1969,22089,29125
1969,22091,10210
1969,22093,20108
1969,22095,23676
1969,22097,80008
1969,22099,31810
1969,22101,59730
1969,22103,62715
1969,22105,64354
1969,22107,9943
1969,22109,75350
1969,22111,18111
1969,22113,43001
1969,22115,52751
